,crude,natural,copper,corn,gold,silver
2020-01-01,50.0,25.0,1.0,199.7486990455666,13494.429593208835,200.39259254115518
2020-01-02,51.27334606934397,25.776385947810322,1.0041576052518355,202.4552721672189,13526.791306876657,199.50975081497702
2020-01-03,51.483397277682045,24.6677504690794,0.9680631960709694,199.546001977668,13318.570654998175,199.47606846493733
2020-01-06,50.76652168899766,23.68598638064748,0.9826186448174439,198.2392656224994,13284.41535388235,195.3899950477943
2020-01-07,50.34713275039069,23.656385881989028,0.960683041236633,198.27903909940858,13184.367438787518,194.51238081123844
2020-01-08,49.8861525636476,24.626085304336357,0.964818941369534,196.4716025911701,13292.908860108568,192.56166622428404
2020-01-09,50.06441772601061,23.534770538309044,0.9362776374536715,195.46473215246087,13300.418934744228,192.2826363394074
2020-01-10,49.98720232943198,23.349264548447277,0.9107849647853673,193.01269436571107,13185.936458148348,193.09806009098332
2020-01-13,50.272402899783465,22.443099575622046,0.911273591964344,191.63852704713872,13090.199657780855,193.503333548717
2020-01-14,51.109519452532744,23.135319280864504,0.9069433559580046,191.87755536955046,13159.006714942241,196.28944754004186
2020-01-15,50.739376368333645,22.95358038886279,0.8866254627915409,188.39180386711382,13187.142953477038,197.4254554738061
2020-01-16,50.69594810266903,23.505864159272043,0.8958481672732639,187.64959211186644,13253.040804565404,200.89452613877688
2020-01-17,50.68142937686951,24.40497182521276,0.8612302283710478,189.16809199772797,13262.709863304428,200.7435727761356
2020-01-20,50.76882236466564,23.28719696200212,0.8514988152963783,188.90597594668156,13386.296487145339,199.1597289683886
2020-01-21,50.140428237657574,22.87237293382522,0.8597333267900341,189.18854627393625,13306.227161990688,199.21505698119864
2020-01-22,50.23109408397631,23.433001235274983,0.8533123938703756,188.79338034226495,13265.952801122901,196.71785713721363
2020-01-23,50.47991189096027,23.63803807627108,0.8559555104517685,188.66477561950728,13137.952050579712,195.54926882745053
2020-01-24,50.22214195564913,23.131159075114695,0.8492441120142213,188.83953100596673,13310.557246317045,195.46539311058154
2020-01-27,50.44026775397817,23.13939184474949,0.8222773568186883,188.16355802581856,13282.458204941764,200.8858347693819
2020-01-28,50.30166594727102,23.27847319671131,0.8221072774036712,185.69011146386748,13398.40462165535,201.75882280881993
2020-01-29,50.946372341324285,22.916292822686348,0.8433795371304835,183.40168675983688,13473.577676887784,207.64929933825695
2020-01-30,50.17173667516389,22.44228029930402,0.838346433692724,181.44602145072838,13239.562594914698,204.4172000638401
