,USDBRL,USDZAR,USDTRY
2020-01-01,0.00421466146259498,-0.006588505992129979,-0.0017134507290229577
2020-01-02,0.0019845746477616657,-0.00482139457639251,0.008376635527452391
2020-01-03,0.007889275570111053,0.0016773237775384807,0.0067810599860239525
2020-01-06,0.008279773390482066,0.004526476175915742,-0.0009040056513641482
2020-01-07,0.002666166844234965,0.009138768812106693,-0.014750126183574897
2020-01-08,-0.002826069439331044,0.0021029026946481197,0.0029731455580767033
2020-01-09,-0.0024845134421542132,0.0033938282573284582,-0.007017621535191933
2020-01-10,0.02599132990868109,0.0004749667470771981,0.021910934960974626
2020-01-13,-0.00893414874698062,0.029033126712357738,0.04354433948306084
2020-01-14,-0.023619957572879748,0.00018243593751652936,0.020769443498512848
2020-01-15,-0.02015730947980172,-0.00357248588870297,-0.00533788629375305
2020-01-16,-0.0008482122538088031,0.011169156265472352,0.030222078289926825
2020-01-17,0.04065626430982159,0.011161055640150654,0.015000775974134219
2020-01-20,-0.022429009099311614,-0.010802926140543548,-0.00203159855585846
2020-01-21,-0.012656131523226378,0.005489336068563088,-0.03853566933181925
2020-01-22,-0.000302579684777386,0.004618777138627843,-0.0026319014668917135
2020-01-23,-0.028702671582566945,-0.002213685032969123,0.02264418594465728
2020-01-24,0.00973523292252942,0.013999704462275601,-0.002167509689659134
2020-01-27,-0.016305790473635284,0.04309256270572457,-0.010178695431019517
2020-01-28,-0.024813677461972918,0.018327136613349743,-1.4532031780904557e-05
2020-01-29,0.011481907926656841,0.009386148662852423,0.03283209433311161
2020-01-30,0.014995366208390717,0.028444917512636406,5.2805994324790805e-05
2020-01-31,0.005032998149371445,0.0005708397582824141,0.0020271159388269592
2020-02-03,-0.005894064083816873,-0.003996952729970343,0.0006714195775627033
2020-02-04,0.0006763394075254467,-0.011151704895732492,-0.0022549556624215155
2020-02-05,0.01505410000296812,0.013426945769433648,-0.008390307193110508
2020-02-06,0.01603697234533457,0.026535831164654605,0.01621150403028082
2020-02-07,-0.0033326596266500252,0.000876818329173317,0.04010674247473393
2020-02-10,0.019573707438267744,0.0010898811031896773,0.0024574243168669152
2020-02-11,0.014345109001904418,0.016692428458813656,-0.02224002859330427
2020-02-12,0.039935364855661,-0.00166913917591928,0.02785882448770897
2020-02-13,0.029016464929933372,-0.0013408096070097707,-0.01057163268508692
2020-02-14,-0.008651289796745502,0.004675690837434161,-0.020074875798056818
2020-02-17,-0.001743268434802481,0.0003227651830276703,0.0013683112133559667
2020-02-18,-0.016240901281431755,-0.03476505616542451,-0.03195350464407968
2020-02-19,0.02608736118600535,0.019406841854247153,-0.021357601012979073
2020-02-20,0.03259030592669104,-0.007232345266983861,-0.02150289526995477
2020-02-21,-0.009374436179132533,0.0028190025744874157,0.00020134122115930472
2020-02-24,0.004193232997138206,0.028589891886646058,0.03219557088861159
2020-02-25,-0.007819302436013108,-0.0012724384175116315,-0.016303406959424466
2020-02-26,-0.01995883856840835,0.014474170246894668,0.03337854650302239
2020-02-27,-0.025544547060617637,0.0011275732758769508,-0.01777934219599312
2020-02-28,-0.020234083400686914,0.0027880726736389215,0.018371067705505808
2020-03-02,0.009068818943416941,-0.004302480233695913,-0.015168037863568622
2020-03-03,-0.008791913578846846,0.0066083424265616355,0.006773452571567629
2020-03-04,0.0039656888662846085,-0.0061453749263461616,0.014911288205194315
2020-03-05,0.03781626307371214,-0.003983673734817018,0.02748934560793937
2020-03-06,0.012963185016022663,-0.008769279775598958,-0.03864268818829377
2020-03-09,0.036561944952850214,-0.005525140228368279,-0.003967233940546431
2020-03-10,-0.013017729106854595,-0.018141239283934043,-0.0225895166124946
2020-03-11,0.010647357266651097,-0.019264995415157266,0.006421523707029302
2020-03-12,0.01661932704562235,-0.005396667204533991,-0.01139214599132982
2020-03-13,-0.013872037014482958,0.0054040159691476726,0.03548912067754847
2020-03-16,-0.014544095037243975,-0.0038184278281942633,0.0072150612464787186
2020-03-17,-0.006841968975150248,0.009331505824142876,0.005445207231502226
2020-03-18,0.00037802910613898757,-0.0037986945167915015,-0.03265515813745115
2020-03-19,0.00421219548775623,-0.006980882427248796,0.007008050207203454
2020-03-20,0.001317946996713443,-0.01839148590472347,-0.008889998612713921
2020-03-23,-0.029494003675975558,0.01118930148274781,-0.0176017659086044
2020-03-24,0.015329636650394194,-0.0019419747503364984,-0.027310592816633675
2020-03-25,0.002978398191698371,0.009005496208113058,-0.02155456557118109
2020-03-26,0.02526709312718757,0.02974779785740256,0.02079815749601569
2020-03-27,0.005801387588485446,0.009545316903326483,0.03388758217876387
2020-03-30,0.015221405198730343,0.030751612313015413,0.03698679611223813
2020-03-31,0.010283928827076613,0.0023733772096694956,0.04514592904565852
2020-04-01,-0.020395499164627847,-0.007613739724287893,-0.0039039642528150304
2020-04-02,-0.013871053495568608,-0.010941374973769513,0.0488209326064467
2020-04-03,-0.013717905807463928,-0.008852188658571554,0.019134228086543886
2020-04-06,0.0017768445821781853,0.019155295721610236,-0.013251222547730137
2020-04-07,-0.02638312365747025,-0.005459395491751469,0.0038131068553403646
2020-04-08,0.0011876613100788014,-0.019509574692690882,-0.019238961886005077
2020-04-09,-0.003692093589892629,0.004355423792492939,0.038738318790226114
2020-04-10,0.01424047190744939,-1.2002983363467584e-06,0.026859688566998743
