,USD,BRL,ZAR,TRY
2020-01-01,-0.0016690520267479499,-0.00588371348934293,0.0049194539653820285,4.4398702275007804e-05
2020-01-02,0.0033084620580705183,0.0013238874103088526,0.008129856634463029,-0.005068173469381873
2020-01-03,0.0009044217431181667,-0.0069848538269928866,-0.000772902034420314,-0.005876638242905786
2020-01-06,-0.0005716686536330077,-0.008851442044115074,-0.00509814482954875,0.0003323369977311404
2020-01-07,0.0010448066899411794,-0.0016213601542937855,-0.008093962122165514,0.015794932873516077
2020-01-08,0.0020788955447018378,0.004904964984032882,-2.400714994628193e-05,-0.0008942500133748655
2020-01-09,-0.0007346276699906126,0.0017498857721636007,-0.004128455927319071,0.006282993865201321
2020-01-10,0.004788233131415826,-0.021203096777265264,0.004313266384338628,-0.0171227018295588
2020-01-13,0.0016161415211942813,0.010550290268174903,-0.027416985191163458,-0.04192819796186656
2020-01-14,0.001714576072899369,0.025334533645779117,0.0015321401353828397,-0.019054867425613478
2020-01-15,-0.002391409856260347,0.017765899623541373,0.0011810760324426227,0.002946476437492703
2020-01-16,0.006886448188296342,0.007734660442105145,-0.004282708077176009,-0.023335630101630485
2020-01-17,0.007433684420440221,-0.03322257988938137,-0.0037273712197104323,-0.007567091553693998
2020-01-20,-0.0004801257545691693,0.021948883344742445,0.01032280038597438,0.0015514728012892905
2020-01-21,-0.0060998859596033995,0.006556245563622979,-0.011589222028166488,0.03243578337221585
2020-01-22,-0.0002459311596533242,5.664852512406175e-05,-0.004864708298281167,0.002385970307238389
2020-01-23,-0.0008379265851260767,0.02786474499744087,0.0013757584478430464,-0.023482112529783356
2020-01-24,0.0008553483610353281,-0.008879884561494092,-0.013144356101240274,0.003022858050694462
2020-01-27,0.004630075301270542,0.020935865774905825,-0.03846248740445403,0.014808770732290059
2020-01-28,-0.001785455672556971,0.023028221789415947,-0.020112592285906714,-0.0017709236407760665
2020-01-29,0.003969715091453365,-0.007512192835203475,-0.005416433571399057,-0.028862379241658243
2020-01-30,-0.00027507217979273773,-0.015270438388183455,-0.028719989692429143,-0.00032787817411752854
2020-01-31,-0.0009476570020724969,-0.005980655151443942,-0.001518496760354911,-0.002974772940899456
2020-02-03,0.00012141618693888086,0.006015480270755754,0.004118368916909224,-0.0005500033906238224
2020-02-04,-0.003541803223759388,-0.0042181426312848345,0.0076099016719731035,-0.0012868475613378723
2020-02-05,0.004903438141952241,-0.010150661861015878,-0.008523507627481407,0.01329374533506275
2020-02-06,0.007921746919741957,-0.008115225425592615,-0.01861408424491265,-0.008289757110538863
2020-02-07,0.0005265181130136787,0.003859177739663704,-0.0003503002161596383,-0.03958022436172025
2020-02-10,-0.002831317568889038,-0.022405025007156784,-0.0039211986720787155,-0.005288741885755953
2020-02-11,-0.0034773457267044962,-0.017822454728608914,-0.02016977418551815,0.018762682866599774
2020-02-12,0.0024255789053369177,-0.03750978595032408,0.004094718081256198,-0.025433245582372054
2020-02-13,0.004134050918921864,-0.024882414011011506,0.005474860525931635,0.014705683604008785
2020-02-14,-0.0002903816112850944,0.008360908185460408,-0.0049660724487192555,0.019784494186771723
2020-02-17,-0.0010432818341445582,0.0006999866006579229,-0.0013660470171722285,-0.002411593047500525
2020-02-18,-0.0014807168980917312,0.014760184383340022,0.03328433926733278,0.030472787745987946
2020-02-19,0.0016915290796023963,-0.024395832106402955,-0.01771531277464476,0.023049130092581468
2020-02-20,-0.005778612523975064,-0.038368918450666104,0.0014537327430087967,0.015724282745979708
2020-02-21,0.00024009230985582765,0.009614528488988361,-0.002578910264631588,3.875108869652293e-05
2020-02-24,0.003553244276906446,-0.0006399887202317604,-0.02503664760973961,-0.028642326611705144
2020-02-25,0.0011326574841331047,0.008951959920146212,0.002405095901644736,0.01743606444355757
2020-02-26,-0.002457332688006095,0.017501505880402255,-0.016931502934900762,-0.035835879191028486
2020-02-27,-0.0031159131979781904,0.022428633862639446,-0.004243486473855141,0.01466342899801493
2020-02-28,-0.006257146294110078,0.013976937106576838,-0.009045218967749,-0.024628213999615886
2020-03-02,0.0033092316708876806,-0.0057595872725292605,0.007611711904583594,0.018477269534456303
2020-03-03,-0.00033196993655885905,0.008459943642287986,-0.006940312363120494,-0.007105422508126488
2020-03-04,-0.0035737032911424974,-0.007539392157427106,0.002571671635203664,-0.01848499149633681
2020-03-05,0.0041643105692384715,-0.03365195250447367,0.00814798430405549,-0.0233250350387009
2020-03-06,-0.0030785336072770473,-0.01604171862329971,0.005690746168321911,0.03556415458101672
2020-03-09,0.0022887809335348512,-0.034273164019315364,0.00781392116190313,0.006256014874081283
2020-03-10,-0.006530304654358555,0.00648742445249604,0.011610934629575489,0.016059211958136047
2020-03-11,0.0022457753182994387,-0.008401581948351658,0.021510770733456704,-0.0041757483887298625
2020-03-12,-0.003285586418779031,-0.01990491346440138,0.00211108078575496,0.008106559572550789
2020-03-13,0.0032110928900825845,0.017083129904565543,-0.002192923079065088,-0.032278027787465885
2020-03-16,0.0026593733570362925,0.017203468394280268,0.006477801185230556,-0.004555687889442426
2020-03-17,-0.007872036982350651,-0.0010300680072004031,-0.017203542806493527,-0.013317244213852877
2020-03-18,-0.006498780262238908,-0.006876809368377895,-0.002700085745447406,0.02615637787521224
2020-03-19,0.0012375992291922453,-0.002974596258563984,0.008218481656441042,-0.005770450978011209
2020-03-20,-0.01266285565060723,-0.013980802647320673,0.0057286302541162395,-0.0037728570378933093
